famille;age;sexe;attribute_set
CORBEILLE;BEBE;M;Textile
CORBEILLE;DPAM;F;Textile
CORBEILLE;DPAM;G;Textile
CORBEILLE;DPAM;M;Textile
CORDON A LUNETT;BEBE;F;Default
CORDON A LUNETT;BEBE;G;Default
CORDON A LUNETT;BEBE;M;Default
CORDON A LUNETT;DPAM;F;Default
CORDON A LUNETT;DPAM;G;Default
CORDON A LUNETT;DPAM;M;Default
COUPE-VENT;BEBE;F;Vêtements
COUPE-VENT;BEBE;G;Vêtements
COUPE-VENT;BEBE;M;Vêtements
COUPE-VENT;DPAM;F;Vêtements
COUPE-VENT;DPAM;G;Vêtements
COUPE-VENT;DPAM;M;Vêtements
COUVERTURE;BEBE;F;Textile
COUVERTURE;BEBE;G;Textile
COUVERTURE;BEBE;M;Textile
COUVERTURE;DPAM;F;Textile
COUVERTURE;DPAM;G;Textile
COUVERTURE;DPAM;M;Textile
CUILLERE;BEBE;F;Vaisselle
CUILLERE;BEBE;G;Vaisselle
CUILLERE;BEBE;M;Vaisselle
CUILLERE;DPAM;F;Vaisselle
CUILLERE;DPAM;G;Vaisselle
CUILLERE;DPAM;M;Vaisselle
CULOTTE DE BAIN;BEBE;F;Vêtements
CULOTTE DE BAIN;BEBE;G;Vêtements
CULOTTE DE BAIN;BEBE;M;Vêtements
CULOTTE DE BAIN;DPAM;F;Vêtements
CULOTTE DE BAIN;DPAM;G;Vêtements
CULOTTE DE BAIN;DPAM;M;Vêtements
DEBARDEUR;BEBE;F;Vêtements
DEBARDEUR;BEBE;G;Vêtements
DEBARDEUR;BEBE;M;Vêtements
DEBARDEUR;DPAM;F;Vêtements
DEBARDEUR;DPAM;G;Vêtements
DEBARDEUR;DPAM;M;Vêtements
DEGUISEMENT;BEBE;F;Vêtements
DEGUISEMENT;BEBE;G;Vêtements
DEGUISEMENT;BEBE;M;Vêtements
DEGUISEMENT;DPAM;F;Vêtements
DEGUISEMENT;DPAM;G;Vêtements
DEGUISEMENT;DPAM;M;Vêtements
DORS-BIEN;BEBE;F;Vêtements
