famille,age,sexe,attribute_set,,categories_es,categories_it
BOITE A MUSIQUE,BEBE,G,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
BOITE A MUSIQUE,BEBE,M,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
BOITE A MUSIQUE,DPAM,F,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
BOITE A MUSIQUE,DPAM,G,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
BOITE A MUSIQUE,DPAM,M,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
BONNET,BEBE,F,Vêtements,,"Bebé Niña 3 a 23 meses/Accesorios bebé niña/Gorro, bufanda, guantes","Bebè bambina 3 -  23 mesi/Accessori bebè bambina/Berrettini, sciarpe, guanti"
BONNET,BEBE,G,Vêtements,,"Bebé Niño 3 a 23 meses/Accesorios bebé niño/Gorro, bufanda, guantes","Bebè bambino 3 -  23 mesi/Accessori bebè bambino/Berrettini, sciarpe, guanti"
BONNET,BEBE,M,Vêtements,,,
BONNET,DPAM,F,Vêtements,,"Niña 3 – 14 años/Accesorios niña/Gorros, bufandas y guantes","Bambina 3 - 14 anni/Accessori bambina/Berrettini, sciarpe, guanti"
BONNET,DPAM,G,Vêtements,,"Niño 3 – 14 años/Accesorios niño/Gorros, bufandas y guantes","Bambino 3 - 14 anni/Accessori bambino/Berrettini, sciarpe, guanti"
BONNET,DPAM,M,Vêtements,,"Niña 3 – 14 años/Accesorios niña/Gorros, bufandas y guantes;;Niño 3 – 14 años/Accesorios niño/Gorros, bufandas y guantes","Bambina 3 - 14 anni/Accessori bambina/Berrettini, sciarpe, guanti;;Bambina 3 - 14 anni/Accessori bambina/Berrettini, sciarpe, guanti"
BONNET DE BAIN,BEBE,F,Vêtements,,,
BONNET DE BAIN,BEBE,G,Vêtements,,,
BONNET DE BAIN,BEBE,M,Vêtements,,,
BONNET DE BAIN,DPAM,F,Vêtements,,Niña 3 – 14 años/Accesorios niña/Varios,Bambina 3 - 14 anni/Accessori bambina/Altro
BONNET DE BAIN,DPAM,G,Vêtements,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
BONNET DE BAIN,DPAM,M,Vêtements,,Niña 3 – 14 años/Accesorios niña/Varios;;Niño 3 – 14 años/Accesorios niño/Varios,Bambina 3 - 14 anni/Accessori bambina/Altro;;Bambina 3 - 14 anni/Accessori bambina/Altro
BOULIER,BEBE,F,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BOULIER,BEBE,G,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BOULIER,BEBE,M,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BOULIER,DPAM,F,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BOULIER,DPAM,G,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BOULIER,DPAM,M,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Abacos y móviles,"L'universo del neonato/Articoli per bambini/Doudou e giochi/Giostrine, abachi"
BRACELET,BEBE,F,Default,,,
BRACELET,BEBE,G,Default,,,
BRACELET,BEBE,M,Default,,,
BRACELET,DPAM,F,Default,,Niña 3 – 14 años/Accesorios niña/Joyas,Bambina 3 - 14 anni/Accessori bambina/Gioielli
BRACELET,DPAM,G,Default,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
